relative_path,absolute_path,filename,extension,size_bytes,sha1,role
Events/events.csv,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Events/events.csv,events.csv,.csv,1867,f6af1aa9fbdea91158aa78378774a9ba977ab08c,events_export_csv
Forms Inquiries csv/Home Contact Form.csv,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Forms Inquiries csv/Home Contact Form.csv,Home Contact Form.csv,.csv,11488,d39c0c0706199c6f94763bb5715ca89ef021d7cf,form_export_csv
Forms Inquiries csv/Kosher Inquiry.csv,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/Forms Inquiries csv/Kosher Inquiry.csv,Kosher Inquiry.csv,.csv,3482,0f2bc13599345570d1af0cd0b3beb7cc97c0115f,form_export_csv
IKC Certificates/IKC Certificates_unzipped/92f487_5779394e95544307960fcd1f0f06a6c7 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/92f487_5779394e95544307960fcd1f0f06a6c7 (1) (1).pdf,92f487_5779394e95544307960fcd1f0f06a6c7 (1) (1).pdf,.pdf,169208,98f2e4267540f9de2eca4a739c3de7a2a3e624d7,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/92f487_5779394e95544307960fcd1f0f06a6c7 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/92f487_5779394e95544307960fcd1f0f06a6c7 (1).pdf,92f487_5779394e95544307960fcd1f0f06a6c7 (1).pdf,.pdf,154999,01719bf24d31e8d178aea336b6adf2a36b476ab1,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/92f487_6256c0711f044f5086c72a471120db61 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/92f487_6256c0711f044f5086c72a471120db61 (1).pdf,92f487_6256c0711f044f5086c72a471120db61 (1).pdf,.pdf,142796,e83e6d9c066025689ced98c34d5951eea776a9c8,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Bar Bombon 2025 updated.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Bar Bombon 2025 updated.pdf,Bar Bombon 2025 updated.pdf,.pdf,174508,762273f65af0ef989a954c3543cfeb23ee77007b,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Casa Borinqueña.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Casa Borinqueña.pdf,Casa Borinqueña.pdf,.pdf,159994,a16895f3f044bd59eaff585c56a1c27af9a758f2,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Center_City_South_Philly_Eruv_Update.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Center_City_South_Philly_Eruv_Update.pdf,Center_City_South_Philly_Eruv_Update.pdf,.pdf,3359,34db8c0dd8723a9bf78434cce3be0e329cb2bc6d,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Charlie 2025 Certificate updated.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Charlie 2025 Certificate updated.pdf,Charlie 2025 Certificate updated.pdf,.pdf,173970,642cf5c4cd34debaaf4cbc0f2d70c63d0f66a339,ikc_certificate
"IKC Certificates/IKC Certificates_unzipped/Fitz on 4th 2025, updated.pdf","/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Fitz on 4th 2025, updated.pdf","Fitz on 4th 2025, updated.pdf",.pdf,179448,3e6f40920e6ecfc30e76e95a744033be59d96dce,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/LUHV Factory & Vegan.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/LUHV Factory & Vegan.pdf,LUHV Factory & Vegan.pdf,.pdf,163419,2f8e73f10e3f0498c132f08e8d35b1e3883f1449,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/LUHV's VEGAN BISTRO-S. Philly.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/LUHV's VEGAN BISTRO-S. Philly.pdf,LUHV's VEGAN BISTRO-S. Philly.pdf,.pdf,171465,0a7f6cd63be77ade371951113f5c08210dc4f8ea,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Luhv - N York.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Luhv - N York.pdf,Luhv - N York.pdf,.pdf,161825,b48a803a7ba20e0ee561578048167f2e7bb6ed29,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Luhv Vegan Bistro.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Luhv Vegan Bistro.pdf,Luhv Vegan Bistro.pdf,.pdf,151332,19c38046dff24c230f7bb754c5e16923826c0a62,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Magical Sweet Shop.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Magical Sweet Shop.pdf,Magical Sweet Shop.pdf,.pdf,156887,1a6ade3bc2ff8e4e72cca56023483f97a70b57d4,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/PLNT Burger .pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/PLNT Burger .pdf,PLNT Burger .pdf,.pdf,156806,ced68c52051470a3216f0dfe1f7b9bbf082a1ee7,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/She say Ate Cafe.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/She say Ate Cafe.pdf,She say Ate Cafe.pdf,.pdf,163099,48f2da0d8c0c2be6193b4d6f69e0852423d12442,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Sweet Box.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Sweet Box.pdf,Sweet Box.pdf,.pdf,163649,84ca82f3b16f2595811139a036a1bc7fc25960ca,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Sweetbox Certificate .pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Sweetbox Certificate .pdf,Sweetbox Certificate .pdf,.pdf,119178,dd4db2f740c8c58b167262df20d58102e88514b7,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Unit Su Vege​.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Unit Su Vege​.pdf,Unit Su Vege​.pdf,.pdf,157867,1f56233ce37bc2544107a7c9c5b853f931892474,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/Zevi's Bakery IKC certificate 2026.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/Zevi's Bakery IKC certificate 2026.pdf,Zevi's Bakery IKC certificate 2026.pdf,.pdf,607750,cde7bae52e0d7aa9902b197c9239a955ca9560cf,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/bar_bombon_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/bar_bombon_2024 (1) (1) (1).pdf,bar_bombon_2024 (1) (1) (1).pdf,.pdf,144419,3b7346b448c0f56b262403b4d0ccd638fea609f3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/bar_bombon_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/bar_bombon_2024 (1).pdf,bar_bombon_2024 (1).pdf,.pdf,142390,af7ede1354578f20ff2e21e86f4b016a3e82d0b6,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/ben_jerryscertificate_-w.philly_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/ben_jerryscertificate_-w.philly_2024 (1) (1) (1).pdf,ben_jerryscertificate_-w.philly_2024 (1) (1) (1).pdf,.pdf,127167,e6ebf70687e805c0809aed0ecbfdd113d63e33a8,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/ben_jerryscertificate_-w.philly_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/ben_jerryscertificate_-w.philly_2024 (1).pdf,ben_jerryscertificate_-w.philly_2024 (1).pdf,.pdf,125749,3c9be96bb8e0771dac0298fe40775678e80f2254,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/blackbird_20thst_certificate_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/blackbird_20thst_certificate_2024 (1) (1) (1).pdf,blackbird_20thst_certificate_2024 (1) (1) (1).pdf,.pdf,145110,9ed88550d65d91eefed03e7203a5c6f623ae5f74,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/blackbird_20thst_certificate_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/blackbird_20thst_certificate_2024 (1).pdf,blackbird_20thst_certificate_2024 (1).pdf,.pdf,142258,5ffbc3f5607899a1cb623fdbecb064af55e19ba3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/chana_strauss_dinner_speech_excerpt_12-2-22.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/chana_strauss_dinner_speech_excerpt_12-2-22.pdf,chana_strauss_dinner_speech_excerpt_12-2-22.pdf,.pdf,56640,8ec79805bb1829cd0e6fc905afa857992bdc6c01,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/charlie_2024_certificate (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/charlie_2024_certificate (1) (1).pdf,charlie_2024_certificate (1) (1).pdf,.pdf,138995,a8e77e40a9152caeb3294c6f77f1982071ec5324,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/charlie_2024_certificate.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/charlie_2024_certificate.pdf,charlie_2024_certificate.pdf,.pdf,147848,73ff88aa46e9f18f4a0916f377f799b397788098,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 1.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 1.pdf,dottiesdonuts 1.pdf,.pdf,164156,664cc1547af8c4f9a799c7ede80147366c5cf353,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 2.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 2.pdf,dottiesdonuts 2.pdf,.pdf,165295,cdc6285f25979c7f26a9f360d1a99b12d96140cf,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 3.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts 3.pdf,dottiesdonuts 3.pdf,.pdf,148511,95af4c29239bf9453f8c52ebadb319528cd28fc3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_manayunk_certificate-website.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_manayunk_certificate-website.pdf,dottiesdonuts_manayunk_certificate-website.pdf,.pdf,140852,c681c6e942bee1ddadbe4b5ef0c26b854b5c7959,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024 (1) (1).pdf,dottiesdonuts_w.phila__certificate_2024 (1) (1).pdf,.pdf,148511,95af4c29239bf9453f8c52ebadb319528cd28fc3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/dottiesdonuts_w.phila__certificate_2024.pdf,dottiesdonuts_w.phila__certificate_2024.pdf,.pdf,151931,6c5ade4a0aaa38929757efe5084b42246b774c93,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1) (1) (1).pdf,fitz_on_4th_2024 (1) (1) (1).pdf,.pdf,142351,1c64c87ece53452cc92d6db871f02b4c00253f49,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/fitz_on_4th_2024 (1).pdf,fitz_on_4th_2024 (1).pdf,.pdf,141960,3f220d363b5c262a80e0b6f4a74b120dd082334f,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/goldie 5 locations.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/goldie 5 locations.pdf,goldie 5 locations.pdf,.pdf,501801,781820cf0bafa2033af694cfdba57c79fe6b4f32,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024 (1) (1).pdf,goldie_fishtown_certificate-_2024 (1) (1).pdf,.pdf,144160,833d6ad1bbdd30b635f0800ed7e9a866614af07f,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/goldie_fishtown_certificate-_2024.pdf,goldie_fishtown_certificate-_2024.pdf,.pdf,152790,146e36966bdc7f244443b25ea09f21efb5790b02,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/hip_city_veg_ardmore_cert_2022 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/hip_city_veg_ardmore_cert_2022 (1).pdf,hip_city_veg_ardmore_cert_2022 (1).pdf,.pdf,85736,6e79984b01333d7357d720dd9d1e0f15624ae512,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/hipcityvegardmore_website.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/hipcityvegardmore_website.pdf,hipcityvegardmore_website.pdf,.pdf,139780,33e87394a99d0e1de71c7faa91c7611dd587977b,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/hipcityvegrittenhouse_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/hipcityvegrittenhouse_2024 (1).pdf,hipcityvegrittenhouse_2024 (1).pdf,.pdf,141329,2f848db90b7b72bc90f4cdf1ea1179f97c9c626a,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1) (1) (1).pdf,joy_cafe_certificate_2024revd (1) (1) (1).pdf,.pdf,144457,92aefe2756b5457a74be0b506357671f12c1347e,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/joy_cafe_certificate_2024revd (1).pdf,joy_cafe_certificate_2024revd (1).pdf,.pdf,143079,b4f1553813fc7da9f2983d93a9912ef6e7e03b2f,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/kilwins_certificate_2024_-_website.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/kilwins_certificate_2024_-_website.pdf,kilwins_certificate_2024_-_website.pdf,.pdf,135582,bb5c12d72d934b661570895701a8f6f6eb5cf7c3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1) (1) (1).pdf,luhv_vegan_deli_at_reading_terminal_2024 (1) (1) (1).pdf,.pdf,143632,1728858ab8c578a1d64c2b0ee107879e5b0afdfe,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/luhv_vegan_deli_at_reading_terminal_2024 (1).pdf,luhv_vegan_deli_at_reading_terminal_2024 (1).pdf,.pdf,142230,8b15aac24e01cb9fd527d0cc3a244e33b95ce072,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/mekor_pesach_at_home_services_2024.docx,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/mekor_pesach_at_home_services_2024.docx,mekor_pesach_at_home_services_2024.docx,.docx,20559,c8a52d34f86158e6de9ed144c2a6c10955f554f3,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024 (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024 (1) (1).pdf,p.s.___co._certification_2024 (1) (1).pdf,.pdf,112099,7b8491501d6f0d69de106bac26ee143825ffac23,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/p.s.___co._certification_2024.pdf,p.s.___co._certification_2024.pdf,.pdf,115076,792a420e4cbc81010784af4a86d167b440cc82ed,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/rabbi_hirsch__2017_sermon_excerpt-_pd.pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/rabbi_hirsch__2017_sermon_excerpt-_pd.pdf,rabbi_hirsch__2017_sermon_excerpt-_pd.pdf,.pdf,72420,3304922893e7f4b39611fa60eacb945f48704e1b,ikc_certificate
IKC Certificates/IKC Certificates_unzipped/rachels_pantry_certificate_2024 (1) (1) (1).pdf,/Users/meshulumort/Documents/mekor/rebuild-assets/raw2/Mekor Assests/IKC Certificates/IKC Certificates_unzipped/rachels_pantry_certificate_2024 (1) (1) (1).pdf,rachels_pantry_certificate_2024 (1) (1) (1).pdf,.pdf,141839,71275decd316c08f753e24499320b2a194c7eb01,ikc_certificate
